Message{id='feba14fa-76eb-4b89-bea7-f32a2cd0c82c', payload={temperature=16.0, unit=°C, timestamp=1775810967244, sensorId=temp-sensor-1}, timestamp=1775810967244}
Message{id='0f61f3df-d49f-4159-bf1f-fd1846d1ec38', payload={temperature=18.0, unit=°C, timestamp=1775810969227, sensorId=temp-sensor-1}, timestamp=1775810969227}
Message{id='65c73219-ef02-4c6a-a679-e6f43dbc8b45', payload={temperature=25.0, unit=°C, timestamp=1775810970224, sensorId=temp-sensor-1}, timestamp=1775810970225}
Message{id='8eeefc2b-1ebb-4070-974b-46749d412ab1', payload={temperature=15.0, unit=°C, timestamp=1775810974227, sensorId=temp-sensor-1}, timestamp=1775810974228}
Message{id='80fbe085-f161-46d8-9667-0f09ca2ca001', payload={temperature=19.0, unit=°C, timestamp=1775810975225, sensorId=temp-sensor-1}, timestamp=1775810975225}
Message{id='7f4dced0-30bd-4d42-b6ef-cb5b0a0f9670', payload={temperature=17.0, unit=°C, timestamp=1775810977223, sensorId=temp-sensor-1}, timestamp=1775810977223}
Message{id='1ac9172b-c184-4779-99b8-4bf37442aea7', payload={temperature=16.0, unit=°C, sensorId=sensor-1, timestamp=1776672640551}, timestamp=1776672640551}
Message{id='d8b8358a-836a-4c45-be45-60261683ef20', payload={temperature=16.0, unit=°C, sensorId=sensor-1, timestamp=1776672641036}, timestamp=1776672641036}
Message{id='b9f7ce98-95b0-44d9-90c2-193dde3161b3', payload={temperature=27.0, unit=°C, sensorId=sensor-1, timestamp=1776672642532}, timestamp=1776672642532}
Message{id='8d15b84d-bca7-47a1-a9a9-05704f158015', payload={temperature=25.0, unit=°C, sensorId=sensor-1, timestamp=1776672643036}, timestamp=1776672643036}
Message{id='01307296-416e-4316-81e9-0d19bc452ef9', payload={temperature=28.0, unit=°C, sensorId=sensor-1, timestamp=1776672644034}, timestamp=1776672644034}
Message{id='67463d88-b7bd-4edc-93b3-c9725938c607', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672645536}, timestamp=1776672645536}
Message{id='63b2d27d-8266-44a7-9036-a27d8f6e7ba0', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672647033}, timestamp=1776672647033}
Message{id='a332a3b8-20bf-4be5-ba2d-bd88cb80e375', payload={temperature=17.0, unit=°C, sensorId=sensor-1, timestamp=1776672647536}, timestamp=1776672647536}
Message{id='190fe627-4a39-4a3f-b437-5b75f303b12b', payload={temperature=25.0, unit=°C, sensorId=sensor-1, timestamp=1776672650036}, timestamp=1776672650036}
Message{id='fec0de7f-51c1-4cc3-a22c-01e9f64be49a', payload={temperature=23.0, unit=°C, sensorId=sensor-1, timestamp=1776672650533}, timestamp=1776672650533}
Message{id='79cdbc49-e3c1-474f-977d-fbf8114c325d', payload={temperature=16.0, unit=°C, sensorId=sensor-1, timestamp=1776672651536}, timestamp=1776672651536}
Message{id='8ee93e93-891f-4eb0-96be-ff88bea2da0a', payload={temperature=27.0, unit=°C, sensorId=sensor-1, timestamp=1776672652035}, timestamp=1776672652035}
Message{id='09b5226f-d225-4434-8be5-26b2110657f3', payload={temperature=28.0, unit=°C, sensorId=sensor-1, timestamp=1776672652533}, timestamp=1776672652533}
Message{id='a1842d99-08c4-421d-9483-83c0f815e042', payload={temperature=16.0, unit=°C, sensorId=sensor-1, timestamp=1776672653035}, timestamp=1776672653035}
Message{id='b26286bc-04ac-41c4-aa45-4172cd997de2', payload={temperature=19.0, unit=°C, sensorId=sensor-1, timestamp=1776672653536}, timestamp=1776672653536}
Message{id='09e391ad-93d4-4439-84fb-1637000f7741', payload={temperature=16.0, unit=°C, sensorId=sensor-1, timestamp=1776672654031}, timestamp=1776672654031}
Message{id='2a2e764f-7216-4a80-8cbb-b63130172adf', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672655535}, timestamp=1776672655535}
Message{id='a64c1845-657c-4b66-a4f3-78d803cdd01a', payload={temperature=26.0, unit=°C, sensorId=sensor-1, timestamp=1776672656536}, timestamp=1776672656536}
Message{id='45434ab1-397d-42b2-9c56-f143b8764185', payload={temperature=21.0, unit=°C, sensorId=sensor-1, timestamp=1776672657030}, timestamp=1776672657031}
Message{id='c317c17d-a166-444a-a1ff-6a0f018ae977', payload={temperature=25.0, unit=°C, sensorId=sensor-1, timestamp=1776672657537}, timestamp=1776672657537}
Message{id='359e1265-d7d2-4aa5-83d8-c044f1e2c3bb', payload={temperature=23.0, unit=°C, sensorId=sensor-1, timestamp=1776672658033}, timestamp=1776672658033}
Message{id='b3e1b370-960f-476d-9163-4828d2744567', payload={temperature=17.0, unit=°C, sensorId=sensor-1, timestamp=1776672659035}, timestamp=1776672659035}
Message{id='8b810236-d68a-4e34-a3e0-a67701a3ca59', payload={temperature=23.0, unit=°C, sensorId=sensor-1, timestamp=1776672659536}, timestamp=1776672659536}
Message{id='94af71bf-8dd3-49fe-8ecf-0fe8924c9253', payload={temperature=20.0, unit=°C, sensorId=sensor-1, timestamp=1776672660036}, timestamp=1776672660036}
